"","Sample_type","position_pastille","temp","ph","do_percent","dic","doc","is.neg"
"E1-PB-T00-B0-1","Peatbog",NA,13.55,4.73,80.9,13.41,29.21,FALSE
"E1-R-T01-B1-1","Rock",1,13.55,5.98,57.5,NA,NA,FALSE
"E1-R-T01-B3-1","Rock",1,13.55,5.33,53.9,NA,NA,FALSE
"E1-R-T02-B1-1","Rock",2,13.55,5.57,29.9,11.85,27.405,FALSE
"E1-R-T02-B2-1","Rock",2,13.55,5.53,29.5,10.62,26.145,FALSE
"E1-R-T02-B3-1","Rock",2,13.55,5.51,30.4,12.215,24.105,FALSE
"E1-R-T03-B1-1","Rock",3,13.55,5.29,32.9,24.845,24.265,FALSE
"E1-R-T03-B2-1","Rock",3,13.55,5.24,33.6,22.965,28.005,FALSE
"E1-R-T03-B3-1","Rock",3,13.55,5.31,36.8,24,25.415,FALSE
"E1-R-T04-B1-1","Rock",1,13.55,5.12,43.5,35.11,31.25,FALSE
"E1-R-T04-B2-1","Rock",1,13.55,5.05,47.7,38.83,32.53,FALSE
"E1-R-T04-B3-1","Rock",1,13.55,5.14,42.8,27.495,31.435,FALSE
"E1-R-T05-B1-1","Rock",2,13.55,4.88,61.4,69.61,25.855,FALSE
"E1-R-T05-B2-1","Rock",2,13.55,4.93,57.3,81.68,29.215,FALSE
"E1-R-T05-B3-1","Rock",2,13.55,4.9,56.4,76.255,25.945,FALSE
"E1-R-T06-B1-1","Rock",3,13.55,4.94,58.6,70.925,29.225,FALSE
"E1-R-T06-B2-1","Rock",3,13.55,4.98,53.3,51.485,30.97,FALSE
"E1-R-T06-B3-1","Rock",3,13.55,5.04,55.8,64.275,27.96,FALSE
"E1-R-T07-B1-1","Rock",1,13.55,4.9,63.4,69.6,28.795,FALSE
"E1-R-T07-B2-1","Rock",1,13.55,5.03,56.1,73.305,28.635,FALSE
"E1-R-T07-B3-1","Rock",1,13.55,5.02,61.5,61.44,28.35,FALSE
"E1-R-T08-B1-1","Rock",2,13.55,5.08,36.8,69.675,31.58,FALSE
