"","Kingdom","Phylum","Class","Order","Family","Genus"
"ASV10969","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","cvE6","Unclassified_cvE6"
"ASV10972","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","cvE6","Unclassified_cvE6"
"ASV10973","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","cvE6","Unclassified_cvE6"
"ASV11005","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","cvE6","Unclassified_cvE6"
"ASV11301","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Simkaniaceae","Ga0074140"
"ASV11364","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Parachlamydiaceae","Unclassified_Parachlamydiaceae"
"ASV11390","Bacteria","Verrucomicrobiota","Chlamydiae","Chlamydiales","Unclassified_Chlamydiales","Unclassified_Chlamydiales"
"ASV11439","Bacteria","Fusobacteriota","Fusobacteriia","Fusobacteriales","Fusobacteriaceae","Cetobacterium"
"ASV11457","Bacteria","Nitrospirota","Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia"
"ASV11459","Bacteria","Nitrospirota","Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia"
"ASV11464","Bacteria","Nitrospirota","Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia"
"ASV11470","Bacteria","Nitrospirota","Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia"
"ASV11471","Bacteria","Nitrospirota","Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia"
"ASV11473","Bacteria","Nitrospirota","Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia"
"ASV11480","Bacteria","Nitrospirota","Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia"
"ASV11482","Bacteria","Nitrospirota","Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia"
"ASV11489","Bacteria","Nitrospirota","Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia"
"ASV11491","Bacteria","Nitrospirota","Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia"
"ASV11492","Bacteria","Nitrospirota","Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia"
"ASV11502","Bacteria","Nitrospirota","Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia"
"ASV11503","Bacteria","Nitrospirota","Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia"
"ASV11511","Bacteria","Nitrospirota","Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia"
"ASV11512","Bacteria","Nitrospirota","Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia"
"ASV11523","Bacteria","Nitrospirota","Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia"
"ASV11533","Bacteria","Nitrospirota","Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia"
"ASV11536","Bacteria","Nitrospirota","Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia"
"ASV11566","Bacteria","Nitrospirota","Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia"
"ASV11572","Bacteria","Nitrospirota","Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia"
"ASV11573","Bacteria","Nitrospirota","Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia","Unclassified_Thermodesulfovibrionia"
"ASV10808","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Spirochaetaceae","Spirochaeta 2"
"ASV10382","Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Sporomusaceae","Pelosinus"
"ASV10408","Bacteria","Firmicutes","Desulfitobacteriia","Desulfitobacteriales","Desulfitobacteriaceae","Desulfosporosinus"
"ASV10409","Bacteria","Firmicutes","Desulfitobacteriia","Desulfitobacteriales","Desulfitobacteriaceae","Desulfosporosinus"
"ASV10423","Bacteria","Firmicutes","Desulfitobacteriia","Desulfitobacteriales","Desulfitobacteriaceae","Desulfosporosinus"
"ASV10425","Bacteria","Firmicutes","Desulfitobacteriia","Desulfitobacteriales","Desulfitobacteriaceae","Desulfosporosinus"
"ASV10427","Bacteria","Firmicutes","Desulfitobacteriia","Desulfitobacteriales","Desulfitobacteriaceae","Desulfosporosinus"
"ASV10429","Bacteria","Firmicutes","Desulfitobacteriia","Desulfitobacteriales","Desulfitobacteriaceae","Desulfosporosinus"
"ASV10431","Bacteria","Firmicutes","Desulfitobacteriia","Desulfitobacteriales","Desulfitobacteriaceae","Desulfosporosinus"
"ASV10434","Bacteria","Firmicutes","Desulfitobacteriia","Desulfitobacteriales","Desulfitobacteriaceae","Desulfosporosinus"
"ASV10467","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1"
"ASV10477","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1"
"ASV10483","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 13"
"ASV10494","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 9"
"ASV10526","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 13"
"ASV10533","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 9"
"ASV10534","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 9"
"ASV10553","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia"
"ASV10554","Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter"
